DISTRIBUTOR_FTS_ID,DISTRIBUTOR_FDC_ID,DISTRIBUTOR_NAME,DISTRIBUTOR_ADDRESS,DISTRIBUTOR_STATE,DISTRIBUTOR_CITY,DISTRIBUTOR_ZIP
,11926,BEVERAGE CONTROL INC,4333 EDINGTON RD,TN,KNOXVILLE,37920
,12288,SPECIALTY BEVERAGE - VA,1400 COMMERCE RD,VA,RICHMOND,23224
,16557,I.H. CAFFEY DIST. - CONCORD,151 ODELL SCHOOL RD,NC,CONCORD,28027
,15595,AMOSKEAG BEVERAGES INC.,510 HALL ST,NH,BOW,03304
,29320,ROHLFING OF BRAINERD INC.,923 WRIGHT ST,MN,BRAINERD,56401
,20647,L & F FAVORITE BRANDS - DALLAS,10490 SHADY TRL,TX,DALLAS,75220
,20950,L & F FAVORITE BRANDS - HOUSTON,305 GARDEN OAKS BOULEVARD,TX,HOUSTON,77018
,2335000,"FLINT HILLS BEVERAGE, LLC EDI",132 MARKET ST,KS,OSAGE CITY,66523
,25823,L & F FAVORITE BRANDS - AUSTIN,777 OLD GOFORTH RD,TX,BUDA,78610
,44164,JEROME DISTRIBUTING - DICKINSON,455 23RD AVE E,ND,DICKINSON,58601
,45734,MORREY DISTRIBUTING CO,1850 E LINCOLN WAY,NV,SPARKS,89434
,45880,AMERICAN EAGLE DISTRIBUTING CO,3800 CLYDESDALE PKWY,CO,LOVELAND,80538
,462,TYLER SALES CO. INC.,2100 PARK ST,MI,MUSKEGON,49444
,6213117,ADVINTAGE,3354 HILL PARK DR,SC,N CHARLESTON,29418
,6213118,ADVINTAGE - WEB ID,3354 HILL PARK DR,SC,N CHARLESTON,29418
,6213119,A. GALLO CO. OF LITCHFIELD,ROUTE 4 WEST,CT,GOSHEN,06756
,6213121,AMOSKEAG BEVERAGES INC.,510 HALL ST,NH,BOW,03304
,6213123,B & B DISTRIBUTORS  INC.,1600 PORTER RD,SC,ROCK HILL,29730
,6213124,INACTIVE - BEN E. KEITH - DALLAS,1805 RECORD CROSSING RD,TX,DALLAS,75235
,6213125,BETTER BRANDS INC.,908 JACKSON ST,SC,MYRTLE BEACH,29577
,6213126,BUDWEISER OF SPARTANBURG  INC.,PO BOX 170009,SC,SPARTANBURG,29301
,6213130,CRAFT BREWERS MA,170 MARKET ST,MA,EVERETT,02149
,6213132,CROWN BEVERAGES  INC.,916 W DARLINGTON ST,SC,FLORENCE,29501
,6213134,DOPS INC,116 PATES DRIVE,DE,FORT WASHINGTON,20744
,6213138,GREAT STATE BEVERAGES INC.,1000 QUALITY DRIVE,NH,HOOKSETT,03106
,6213140,HUNTERDON BREWING CO.,45 HOWARD ST,NJ,PHILLIPSBURG,08865
,6213145,LEGENDS LIMITED,8901 YELLOW BRICK RD,MD,BALTIMORE,21237
,6213151,ANTONIO ORIGLIO INC,3000 MEETING HOUSE ROAD,PA,PHILADELPHIA,19154
,6213158,INACTIVE - SELECT WINES,14000 WILLARD ROAD,VA,CHANTILLY,20151
,6213161,STANDARD DIST OF DE,100 N MEWS DR,DE,NEW CASTLE,19720
,6213163,SOUTHERN EAGLE OF SOUTH CAROLINA,1600 CHARLESTON REGIONAL PKWY,SC,CHARLESTON,29492
,6213169,WESTY BEER DISTRIBUTOR,420 ST JOHNS CHURCH RD,PA,CAMP HILL,17011
,6213172,WINE WAREHOUSE - SOUTH,6550 E WASHINGTON BLVD,CA,LOS ANGELES,90040
,6213174,7G DISTRIBUTING INC. - DUBUQUE,5035 CHAVENELLE RD,IA,DUBUQUE,52002
,6213178,ALLSTATE BEVERAGE COMPANY,130 6TH ST,AL,MONTGOMERY,36104
,6213179,ANDERSON BEVERAGES INC.,500 MARIN AVE,MN,CROOKSTON,56716
,6213185,BAYSIDE DISTRIBUTORS - NH,277 ROUTE 125,NH,EXETER,03833
,6213203,BUDWEISER OF SYLVA,2651 SKYLAND DR,NC,SYLVA,28779
,6213213,CAROLINA BEER CO. INC.,P O BOX 938,SC,ANDERSON,29622
,6213241,CRAFT BREWERS GUILD - ME,79 BRADLEY DR,ME,WESTBROOK,04092
,6213264,ELDER,1403 N LIBERTY ST,TX,VICTORIA,77901
,6213281,FORT DODGE DISTRIBUTING,2053 HIGHWAY 169 SOUTH,IA,FORT DODGE,50501
,6213284,GARAL WHOLESALERS LTD.,55 KEAN ST,NY,WEST BABYLON,11704
,6213286,GENERAL DISTRIBUTORS,13895 FIR ST,OR,OREGON CITY,97045
,6213300,GREAT PLAINS DISTRIBUTORS,,TX,LUBBOCK,79404
,6213122,BAKER DISTRIBUTING SOUTH,PO BOX 50,VT,NORTH CLARENDON,05759
,6213129,INACTIVE - C & C/RHODE ISLAND DIST,119 HOPKINS HILL RD,RI,COVENTRY,02816
,6213153,PREMIUM DISTRIBUTORS - DC,3500 FORT LINCOLN DR NE,DC,WASHINGTON,20018
,6213155,INACTIVE - SAVANNAH DISTRIBUTING CO.,2425 W GWINNETT ST,GA,SAVANNAH,31415
,6213160,SPECIALTY BEVERAGE INC. - RICHMOND,1400 COMMERCE RD,VA,RICHMOND,23224
,6213180,ANDREWS OF NORTH TEXAS,2730 IRVING BLVD,TX,DALLAS,75207
,6213183,GLAZER WHOLESALE AR - N LITTLE ROCK,11101 SMITTY LN,AR,N LITTLE ROCK,72117
,6213195,BLUE RIDGE BEVERAGE CO. - ABINGDON,18177 OAK PARK DRIVE,VA,ABINGDON,24210
,6213199,WIRTZ BEVERAGE NEVADA - WINE & SPIRITS,1849 W CHEYENNE AVE,NV,N LAS VEGAS,89032
,6213219,CHAMPION BRANDS INC,P O BOX 56260,FL,JACKSONVILLE,32257
,6213220,CHAS. HERDRICH & SONS INC.,4040 W DAYTON ST,IL,MCHENRY,60050
,6213242,CRAFT BREWERS GUILD - VT,934 HERCULES DR,VT,COLCHESTER,05446
,6213248,CRESCENT CROWN - LAFAYETTE,215 N PIERCE ST,LA,LAFAYETTE,70501
,6213252,CROWN DIST. CO. -  ABERDEEN,1200 W HERON ST,WA,ABERDEEN,98520
,6213258,DOPS INC,116 PATES DR,MD,FT WASHINGTON,20744
,6213272,L & F DISTRIBUTORS - ROSWELL,2200 N ATKINSON AVE,NM,ROSWELL,88201
,6213277,FLANIGAN DISTRIBUTING,5600 GORDON RD,WI,STURGEON BAY,54235
,6213303,CLARK BEVERAGE GROUP - HERNANDO,3036 MCCRACKEN RD,MS,HERNANDO,38632
,6213318,OHIO VALLEY WINE AND BEER,10975 MEDALLION DR,OH,BLUE ASH,45241
,6213116,ACE BEVERAGE,203 BETTY ST,PA,ARCHBALD,18403
,6213120,A. B. BEVERAGE - AIKEN(SC),PO BOX 2038,SC,AIKEN,29802
,6213127,CLICK WHOLESALE DISTRIBUTING,432 S CLOVERDALE ST,WA,SEATTLE,98108
,6213135,DRINX UNLIMITED,372 ELY AVE,CT,NORWALK,06854
,6213136,FARRELL DISTRIBUTING CORP - S. BURL.,5 HOLMES ROAD,VT,SOUTH BURLINGTON,05403
,6213139,G. HOUSEN & COMPANY INC.,1568 PUTNEY RD,VT,BRATTLEBORO,05301
,6213141,L.KNIFE & SON INC.,P O BOX K,MA,KINGSTON,02364
,6213142,KW BEVERAGE - BUDWEISER OF COLUMBIA,825 BLUFF RD,SC,COLUMBIA,29201
,6213143,KW BEVERAGE - BUDWEISER OF GREENVILLE,2101 STATE HWY 86,SC,PIEDMONT,29673
,6213147,MORRIS DISTRIBUTING,PO BOX 481,CA,PETALUMA,94953
,6213162,STAR DISTRIBUTORS,10 EDER ROAD,CT,WEST HAVEN,06516
,6213166,INACTIVE - TRYON DISTRIBUTING CO,4701 STOCKHOLM CT,NC,CHARLOTTE,28273
,6213167,TRYON DISTRIBUTING CO,4701 STOCKHOLM CT,NC,CHARLOTTE,28273
,6213176,CROWN ALABAMA - ALABASTER,1330 CORPORATE WOODS DR,AL,ALABASTER,35007
,6213187,BEER HOUSE DIST. INC.,726 E 9TH ST,KY,NEWPORT,41071
,6213188,BEN E. KEITH (ALL LOCATIONS),1805 RECORD CROSSING RD,TX,DALLAS,75235
,6213190,REPUBLIC NATIONAL DIST - OK,304 N MERIDIAN AVE,OK,OKLAHOMA CITY,73107
