MON,DISTRIBUTOR_FTS_ID,DISTRIBUTOR_NAME,INVOICE_COUNT,PRICE_SUM,SUM_INVOICE_TOTAL
1,88654,ARCO GLOBUS INTERNATIONAL,1,120,
1,118066,CLATSOP DISTRIBUTING CO-WASHINGTON,1,-30,
1,10077,RELIABLE CHURCHILL DBA BREAKTHRU BEVERAGE MD,1,-60,
1,47213,VINTAGE DISTRIBUTORS,1,-20,
1,63995,BALKAN BEVERAGE LLC,1,-2.04,
1,8010,"VERITAS DISTRIBUTORS, INC.",1,-2411.5,
1,70010,CRUCIBLE BREWING,1,45,
1,147242,CARTRIDGE BREWING LLC,1,30,
1,35511,SOUTHERN GLAZER'S WINE & SPIRITS OF KS,1,-572.16,
1,100695,BELGIAN BEER DISTRIBUTORS,1,35,
1,73655,BEE KIND WINERY,3,138.7,
1,98530,SKOOKUM BREWERY,2,-225,
1,50362,ESTATE BRANDS DISTRIBUTING COMPANY,1,-3561.12,
1,17560,DELREKA DISTRIBUTING,1,-40,
1,133901,TIGHTHEAD BREWING COMPANY,1,-52,
1,65478,BLACH DISTRIBUTING LLC,1,-160,
1,42393,LUPINE BREWING COMPANY,2,-30,
1,77919,REVERIE DISTRIBUTION,1,325,
1,78680,HIGHWAY 8 LIQUOR,1,-36,
1,119915,TWO SIX CRAFT DISTRIBUTORS,2,-90,
1,63754,GRASSROOTS DISTRIBUTION,16,-1497,
1,33524,LAKESHORE BEVERAGE,25608,91038.25,30367689.88
1,95,"CHICAGO BEVERAGE SYSTEM, INC DBA WINDY CITY",11061,64383.69,15557807.8
1,15979,"BREAKTHRU BEVERAGE ILLINOIS, LLC",10115,22181.56,14632439.63
1,16832,FRANK B. FUHRER WHOLESALE CO.,6883,209501.64,13403049.41
1,8368,SOUTHERN GLAZER'S WINE & SPIRITS OF IL,9434,269893.69,9894641.86
1,7238,"NATIONAL WINE & SPIRITS, LLC - MI",10577,23761.78,7758415.8
1,23295,SOUTHERN GLAZER'S WINE & SPIRITS OF WA - PNW,1616,142431.52,7196353.42
1,54,SOUTHERN GLAZER'S WINE & SPIRITS OF AZ,5336,10868.1,6277824.14
1,66190,PENN BEER SALES & SERVICE,4608,82061.02,6188215.7
1,39570,BEN E. KEITH BEVERAGES,3800,-234.11,5766561.52
1,75,"BURKE BEVERAGE, INC.",2366,15409.92,5531929.49
1,7668,JOHNSON BROTHERS - DES MOINES,5579,54545.15,5409795.43
1,7724,JOHNSON BROTHERS - ST. PAUL,3588,74243.56,5342940.9
1,20,"GREAT BAY DISTRIBUTORS, INC.",3706,-236850.6,4939951.25
1,72,"EUCLID BEVERAGE, LTD. - NORTH AURORA",3688,-30031,4547122.79
