,PRODUCT_LIBRARY_KEY,CLIENT_ID,PRODUCT_DESCRIPTION_x,SIZE_RAW_x,SIZE_VALUE,PACK_RAW_x,AGE,ProductKey,PRODUCT_DESCRIPTION_y,SIZE_RAW_y,PACK_RAW_y
0,3583,,G DUB BEAUJLAS VILLAGES,750 ML,0.75,12.0,9999.0,3583,G DUB BEAUJLAS VILLAGES VIN 9999,750 ML,12.0
1,3584,,G DUB BEAUJLAS NOUV ROSE,750 ML,0.75,12.0,2020.0,3584,G DUB BEAUJLAS NOUV ROSE VIN 2020,750 ML,12.0
2,3585,,G DUB BEAUJLAS NOUV,750 ML,0.75,12.0,2020.0,3585,G DUB BEAUJLAS NOUV VIN 2020,750 ML,12.0
3,3587,,G DUB BEAUJLAS NOUV ROSE,750 ML,0.75,12.0,2020.0,3587,G DUB BEAUJLAS NOUV ROSE VIN 2020,750 ML,12.0
4,3589,,Da Luca Prosecco 750/12,750 ML,0.75,12.0,9999.0,3589,Da Luca Prosecco 750/12 VIN 9999,750 ML,12.0
5,3590,,Trackers Crossing Cab Sauv 750/12,750 ML,0.75,12.0,9999.0,3590,Trackers Crossing Cab Sauv 750/12 VIN 9999,750 ML,12.0
6,3591,,GRANITE HILL PINOT GRIGIO,750ML,0.75,12.0,0.0,3591,GRANITE HILL PINOT GRIGIO VIN 0,750ML,12.0
7,3592,,DUBOEUF BEAUJOLAIS VILLAGE,750ML,0.75,12.0,2017.0,3592,DUBOEUF BEAUJOLAIS VILLAGE VIN 2017,750ML,12.0
8,3603,,HERDADE SAO MIGUEL SUL RED,CS12-750ML,,12.0,,3603,HERDADE SAO MIGUEL SUL RED,CS12-750ML,12.0
9,3604,,ART TERRA AMPHORA TINTO RED,CS12-750ML,,12.0,,3604,ART TERRA AMPHORA TINTO RED,CS12-750ML,12.0
10,3605,,ART TERRA CURTIMENTA WH ORANGE,CS12-750ML,,12.0,,3605,ART TERRA CURTIMENTA WH ORANGE,CS12-750ML,12.0
11,3606,,HERDADE SAO MIGUEL ESCOLHAS,CS12-750ML,,12.0,,3606,HERDADE SAO MIGUEL ESCOLHAS,CS12-750ML,12.0
12,3607,,ECHO FALLS MANGO PEACH,CS12-750ML,,12.0,,3607,ECHO FALLS MANGO PEACH,CS12-750ML,12.0
13,3608,,IRONSTONE PETITE SYRAH,CS12-750ML,,12.0,,3608,IRONSTONE PETITE SYRAH,CS12-750ML,12.0
14,3609,,LEAPING HORSE RED BLEND,CS12-750ML,,12.0,,3609,LEAPING HORSE RED BLEND,CS12-750ML,12.0
15,3610,,IRONSTONE CABERNET SAUV,CS12-750ML,,12.0,,3610,IRONSTONE CABERNET SAUV,CS12-750ML,12.0
16,3611,,PASCUAL TOSO BARRANCAS,CS12-750ML,,12.0,,3611,PASCUAL TOSO BARRANCAS,CS12-750ML,12.0
17,3612,,PASCUAL TOSO CABERNET,CS12-750ML,,12.0,,3612,PASCUAL TOSO CABERNET,CS12-750ML,12.0
18,3613,,PASCUAL TOSO EST MALBEC,CS12-750ML,,12.0,,3613,PASCUAL TOSO EST MALBEC,CS12-750ML,12.0
19,3614,,PASCUAL TOSO RES CABERNET,CS12-750ML,,12.0,,3614,PASCUAL TOSO RES CABERNET,CS12-750ML,12.0
20,3615,,PASCUAL TOSO RES MALBEC,CS12-750ML,,12.0,,3615,PASCUAL TOSO RES MALBEC,CS12-750ML,12.0
21,3616,,IRONSTONE SAUV BLANC,CS12-750ML,,12.0,,3616,IRONSTONE SAUV BLANC,CS12-750ML,12.0
22,3617,,ECHO FALLS STRAW RASP BLACKBER,CS6-750ML,,6.0,,3617,ECHO FALLS STRAW RASP BLACKBER,CS6-750ML,6.0
23,3618,,ECHO FALLS MANGO PEACH,CS6-750ML,,6.0,,3618,ECHO FALLS MANGO PEACH,CS6-750ML,6.0
24,3619,,ECHO FALLS RASPBERRY BLACKCURR,CS6-750ML,,6.0,,3619,ECHO FALLS RASPBERRY BLACKCURR,CS6-750ML,6.0
25,3620,,ECHO FALLS RASPBERRY BLACKCURR,CS12-750ML,,12.0,,3620,ECHO FALLS RASPBERRY BLACKCURR,CS12-750ML,12.0
26,3621,,ECHO FALLS STRAW RASP BLACKBER,CS12-750ML,,12.0,,3621,ECHO FALLS STRAW RASP BLACKBER,CS12-750ML,12.0
27,3622,,,,,,,3622,No Description Available,,
28,3623,,TRACKERS CROSSING CHARDONNAY,CS12-750ML,,12.0,,3623,TRACKERS CROSSING CHARDONNAY,CS12-750ML,12.0
29,3624,,TRACKERS CROSSING SHIRAZ,CS12-750ML,,12.0,,3624,TRACKERS CROSSING SHIRAZ,CS12-750ML,12.0
30,3625,,TRACKERS CROSSING CABERNET,CS12-750ML,,12.0,,3625,TRACKERS CROSSING CABERNET,CS12-750ML,12.0
31,3626,,DA LUCA SPARKLING ROSE,CS12-750ML,,12.0,,3626,DA LUCA SPARKLING ROSE,CS12-750ML,12.0
32,3627,,DUB DOM LAFAYETTE BROUILLY,CS12-750ML,,12.0,,3627,DUB DOM LAFAYETTE BROUILLY,CS12-750ML,12.0
33,3628,,DUB CABERNET FLOWER,CS12-750ML,,12.0,,3628,DUB CABERNET FLOWER,CS12-750ML,12.0
34,3629,,DUB PINOT NOIR FLOWER,CS12-750ML,,12.0,,3629,DUB PINOT NOIR FLOWER,CS12-750ML,12.0
35,3630,,DUB CHARDONNAY FLOWER,CS12-750ML,,12.0,,3630,DUB CHARDONNAY FLOWER,CS12-750ML,12.0
36,3631,,DUB BEAUJ VIL,CS12-750ML,,12.0,,3631,DUB BEAUJ VIL,CS12-750ML,12.0
37,3632,,ECHO FALLS MANGO PEACH,CS12-750ML,,12.0,,3632,ECHO FALLS MANGO PEACH,CS12-750ML,12.0
38,3633,,PASCUAL TOSO EST MALBEC,CS12-750ML,,12.0,,3633,PASCUAL TOSO EST MALBEC,CS12-750ML,12.0
39,3634,,HARDY WHISKERS BLAKE PORT,CS12-750ML,,12.0,,3634,HARDY WHISKERS BLAKE PORT,CS12-750ML,12.0
40,3635,,ECHO FALLS MANGO PEACH,CS6-750ML,,6.0,,3635,ECHO FALLS MANGO PEACH,CS6-750ML,6.0
41,3636,,ECHO FALLS RASPBERRY BLACKCURR,CS6-750ML,,6.0,,3636,ECHO FALLS RASPBERRY BLACKCURR,CS6-750ML,6.0
42,3637,,ECHO FALLS RASPBERRY BLACKCURR,CS12-750ML,,12.0,,3637,ECHO FALLS RASPBERRY BLACKCURR,CS12-750ML,12.0
43,3638,,ECHO FALLS STRAW RASP BLACKBER,CS12-750ML,,12.0,,3638,ECHO FALLS STRAW RASP BLACKBER,CS12-750ML,12.0
44,3639,,,,,,,3639,No Description Available,,
45,3640,,IRONSTONE CABERNET FRANC,CS12-750ML,,12.0,,3640,IRONSTONE CABERNET FRANC,CS12-750ML,12.0
46,3641,,IRONSTONE SYMPHONY OBSESSIO,CS12-750ML,,12.0,,3641,IRONSTONE SYMPHONY OBSESSIO,CS12-750ML,12.0
47,3642,,PASCUAL TOSO EST MALBEC,CS12-750ML,,12.0,,3642,PASCUAL TOSO EST MALBEC,CS12-750ML,12.0
48,3643,,PASCUAL TOSO SPARKLING BRUT,CS12-750ML,,12.0,,3643,PASCUAL TOSO SPARKLING BRUT,CS12-750ML,12.0
49,3644,,GEYSER PEAK SAUV BLANC,CS12-750ML,,12.0,,3644,GEYSER PEAK SAUV BLANC,CS12-750ML,12.0
50,3645,,ECHO FALLS STRAW RASP BLACKBER,CS6-750ML,,6.0,,3645,ECHO FALLS STRAW RASP BLACKBER,CS6-750ML,6.0
51,3646,,ECHO FALLS MANGO PEACH,CS6-750ML,,6.0,,3646,ECHO FALLS MANGO PEACH,CS6-750ML,6.0
52,3647,,ECHO FALLS RASPBERRY BLACKCURR,CS6-750ML,,6.0,,3647,ECHO FALLS RASPBERRY BLACKCURR,CS6-750ML,6.0
53,3648,,ECHO FALLS STRAW RASP BLACKBER,CS12-750ML,,12.0,,3648,ECHO FALLS STRAW RASP BLACKBER,CS12-750ML,12.0
54,3649,,,,,,,3649,No Description Available,,
55,3650,,NEW AGE WHITE,750 ML,0.75,12.0,9999.0,3650,NEW AGE WHITE VIN 9999,750 ML,12.0
56,3651,,NEW AGE ROSE,750 ML,0.75,12.0,9999.0,3651,NEW AGE ROSE VIN 9999,750 ML,12.0
57,3652,,NEW AGE RED,750 ML,0.75,12.0,9999.0,3652,NEW AGE RED VIN 9999,750 ML,12.0
58,3653,,Stones Ginger Wine 750/12,750 ML,0.75,12.0,9999.0,3653,Stones Ginger Wine 750/12 VIN 9999,750 ML,12.0
59,3654,,Elsa Malbec 750/12,750 ML,0.75,12.0,9999.0,3654,Elsa Malbec 750/12 VIN 9999,750 ML,12.0
60,3655,,CHAMPAGNE PALMER BRUT,750 ML,0.75,6.0,9999.0,3655,CHAMPAGNE PALMER BRUT VIN 9999,750 ML,6.0
61,3656,,CHAMPAGNE PALMER ROSE,750 ML,0.75,6.0,9999.0,3656,CHAMPAGNE PALMER ROSE VIN 9999,750 ML,6.0
62,3657,,ELSA BIANCHI CABERNET SAUVIGNON,750 ML,0.75,12.0,2018.0,3657,ELSA BIANCHI CABERNET SAUVIGNON VIN 2018,750 ML,12.0
63,3658,,Geyser Peak Cab Sauv 750/12,750 ML,0.75,12.0,9999.0,3658,Geyser Peak Cab Sauv 750/12 VIN 9999,750 ML,12.0
64,3659,,Hardys Port Tawny Whiskers 750/12,750 ML,0.75,12.0,9999.0,3659,Hardys Port Tawny Whiskers 750/12 VIN 9999,750 ML,12.0
65,3660,,Trackers Crossing Chard 750/12,750 ML,0.75,12.0,9999.0,3660,Trackers Crossing Chard 750/12 VIN 9999,750 ML,12.0
66,3661,,Trackers Crossing Shiraz 750/12,750 ML,0.75,12.0,9999.0,3661,Trackers Crossing Shiraz 750/12 VIN 9999,750 ML,12.0
67,3662,,Stones Ginger Wine 750/12,750 ML,0.75,12.0,9999.0,3662,Stones Ginger Wine 750/12 VIN 9999,750 ML,12.0
68,3663,,Geyser Peak Sauv Bl 750/12,750 ML,0.75,12.0,9999.0,3663,Geyser Peak Sauv Bl 750/12 VIN 9999,750 ML,12.0
69,3664,,Haymaker Sauv Blanc 750/12,750 ML,0.75,12.0,9999.0,3664,Haymaker Sauv Blanc 750/12 VIN 9999,750 ML,12.0
70,3665,,Geyser Peak Cab Sauv Walking Tree 750/6,750 ML,0.75,6.0,9999.0,3665,Geyser Peak Cab Sauv Walking Tree 750/6 VIN 9999,750 ML,6.0
