,STYLE_NAME,STLYE,CT
220730,TUPELO HONEY MEAD LA CRESCENT,WINE_VARIETAL WINE_VARIETAL,211
170659,PETIT VERDOT SIEGERREBE,WINE_VARIETAL WINE_VARIETAL,211
168574,LEMON VERDELHO,FLAVOR_STYLE WINE_VARIETAL,57
222326,CHERRY TOURIGA NACIONAL,FLAVOR_STYLE WINE_VARIETAL,57
19583,LAMBIC or GUEUZE FRUIT,BEER_MICRO FLAVOR_BROAD,75
136631,BRANDY BLUSH,SPIRITS_BROAD WINE_VARIETAL,13
156552,WILD ALE PINOT NOIR,BEER_MICRO WINE_VARIETAL,75
142993,PETIT VERDOT GREEN HUNGARIAN,WINE_VARIETAL WINE_VARIETAL,211
212066,ASTI SPUMANTE REFOSCO,WINE_VARIETAL WINE_VARIETAL,211
155464,ST. LAURENT ST. PEPIN,WINE_VARIETAL WINE_VARIETAL,211
164743,ERBALUCE PINOT MEUNIER,WINE_VARIETAL WINE_VARIETAL,211
76863,HELLES ASTI SPUMANTE,BEER_MICRO WINE_VARIETAL,75
119581,SOAVE ARMAGNAC,WINE_VARIETAL SPIRITS_TYPE,211
157612,LIME UGNI BLANC,FLAVOR_STYLE WINE_VARIETAL,57
54553,COROT NOIR TANGERINE,WINE_VARIETAL FLAVOR_STYLE,211
112665,AMERICAN IPA DISTILLED GIN,BEER_MICRO SPIRITS_TYPE,75
201968,APRICOT MEAD,FLAVOR_STYLE WINE_VARIETAL,57
185174,GOSE VERNACCIA,BEER_MICRO WINE_VARIETAL,75
51479,VOUVRAY MELON,WINE_VARIETAL FLAVOR_STYLE,211
191374,STEAM BEER or CALIFORNIA COMMON HAZELNUT,BEER_MICRO FLAVOR_STYLE,75
107668,TOURIGA NACIONAL WHEAT WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
160582,NORTON MALVASIA,WINE_VARIETAL WINE_VARIETAL,211
208067,ENGLISH PALE ALE SAUVIGNON GRIS,BEER_MICRO WINE_VARIETAL,75
48644,DORNFELDER CHERRY LIMEADE,WINE_VARIETAL FLAVOR_STYLE,211
97385,INDIA PALE LAGER or IPL BLUE RASPBERRY,BEER_MICRO FLAVOR_STYLE,75
132629,OATMEAL STOUT AROMATIC,BEER_MICRO WINE_SUBSTYLE,75
127931,ENGLISH PALE ALE MOSCATEL DE SETUBAL,BEER_MICRO WINE_STYLE,75
2314,RESIDUE BRANDY READY TO DRINK (RTD) or PRE-MIX COCKTAIL,SPIRITS_TYPE BEER_STYLE,77
103900,MARSALA STRAWBERRY,WINE_VARIETAL FLAVOR_STYLE,211
171520,ALIGOTÉ TRAMINER,WINE_VARIETAL WINE_VARIETAL,211
103043,AMBER or RED LAGER GRAPE  ,BEER_MICRO FLAVOR_STYLE,75
150573,SÉMILLON ELDERBERRY,WINE_VARIETAL WINE_VARIETAL,211
71422,MARQUETTE IRISH WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
191751,CHANCELLOR (NOIR) HAZELNUT,WINE_VARIETAL FLAVOR_STYLE,211
51304,MOSCATEL DE SETUBAL MELON,WINE_STYLE FLAVOR_STYLE,13
120891,RUM ROCK AND RUM,SPIRITS_BROAD SPIRITS_TYPE,13
191783,SAISON TEQUILA,BEER_MICRO SPIRITS_BROAD,75
91942,CHAMBOURCIN HELLES,WINE_VARIETAL BEER_MICRO,211
208242,MEDIUM SWEET SAUVIGNON GRIS,WINE_SUBSTYLE WINE_VARIETAL,18
133491,BLENDED BOURBON WHISKY ALBARIÑO,SPIRITS_TYPE WINE_VARIETAL,77
33026,FRUIT PUNCH DUBBEL,FLAVOR_STYLE BEER_MICRO,57
154282,MEZCAL CASTEL,SPIRITS_BROAD WINE_VARIETAL,13
41336,FRASCATI LIGHT LAGER,WINE_VARIETAL BEER_MICRO,211
62840,POMEGRANATE BLENDED SCOTCH WHISKY,WINE_VARIETAL SPIRITS_TYPE,211
10166,FRUIT BRANDY ENGLISH PALE ALE,SPIRITS_TYPE BEER_MICRO,77
214307,MALT WHISKY TORRONTÉS,SPIRITS_TYPE WINE_VARIETAL,77
79298,CUCUMBER CHARDONNAY,FLAVOR_STYLE WINE_VARIETAL,57
181342,BELGIAN PALE ALE SYRAH,BEER_MICRO WINE_VARIETAL,75
25056,SLIVOVITZ PEANUT BUTTER,SPIRITS_TYPE FLAVOR_STYLE,77
95139,WHEAT WHISKY LIME,SPIRITS_TYPE FLAVOR_STYLE,77
25471,BLUE RASPBERRY MACADAMIA,FLAVOR_STYLE FLAVOR_STYLE,57
157443,TRIPEL UGNI BLANC,BEER_MICRO WINE_VARIETAL,75
99605,RIESLING CUCUMBER,WINE_VARIETAL FLAVOR_STYLE,211
24200,MELON DE BOURGOGNE CHOCOLATE,WINE_VARIETAL FLAVOR_STYLE,211
1849,CORTESE KOMBUCHA,WINE_VARIETAL BEER_STYLE,211
3058,WILD BERRY SELTZERS,FLAVOR_STYLE BEER_STYLE,57
90794,CHARBONO ENGLISH STRONG BITTER (ESB),WINE_VARIETAL BEER_MICRO,211
96935,BLACK CHERRY PEACH,FLAVOR_STYLE FLAVOR_STYLE,57
80603,DORNFELDER CLARET,WINE_VARIETAL WINE_VARIETAL,211
30979,CHARDONNAY CIDER,WINE_VARIETAL BEER_STYLE,211
94775,PINOT NOIR LEMON,WINE_VARIETAL FLAVOR_STYLE,211
145747,SHERRY FUMÉ BLANC,WINE_STYLE WINE_VARIETAL,13
