,STYLE_NAME,'BEER_STYLE',COUNTS
0,LAGER,BEER_STYLE,8
1,ALE,BEER_STYLE,8
2,READY TO DRINK (RTD) or PRE-MIX COCKTAIL,BEER_STYLE,8
3,DOPPELBOCK,BEER_MICRO,75
4,VIENNA LAGER,BEER_MICRO,75
5,ALTBIER,BEER_MICRO,75
6,BLONDE ALE,BEER_MICRO,75
7,MILK STOUT,BEER_MICRO,75
8,HEFEWEIZEN,BEER_MICRO,75
9,WEIZENBOCK,BEER_MICRO,75
10,RED ALE,BEER_MICRO,75
11,SCOTTISH ALE,BEER_MICRO,75
12,KELLERBIER or ZWICKELBIER,BEER_MICRO,75
13,BELGIAN IPA,BEER_MICRO,75
14,WITBIER,BEER_MICRO,75
15,BIERE DE GARDE,BEER_MICRO,75
16,WILD ALE,BEER_MICRO,75
17,STEAM BEER or CALIFORNIA COMMON,BEER_MICRO,75
18,SAVORY,FLAVOR_BROAD,5
19,TROPICAL,FLAVOR_STYLE,57
20,ALMOND,FLAVOR_STYLE,57
21,MANGO,FLAVOR_STYLE,57
22,FRUIT PUNCH,FLAVOR_STYLE,57
23,BANANA,FLAVOR_STYLE,57
24,GRAPEFRUIT,FLAVOR_STYLE,57
25,RASPBERRY,FLAVOR_STYLE,57
26,TOMATO,FLAVOR_STYLE,57
27,MAPLE,FLAVOR_STYLE,57
28,GIN,SPIRITS_BROAD,13
29,TEQUILA,SPIRITS_BROAD,13
30,MEZCAL,SPIRITS_BROAD,13
31,IRISH WHISKY,SPIRITS_TYPE,77
32,COMPOUNDED GIN,SPIRITS_TYPE,77
33,PISCO,SPIRITS_TYPE,77
34,KIRSCHWASSER,SPIRITS_TYPE,77
35,GRAPPA BRANDY,SPIRITS_TYPE,77
36,PEPPERMINT SCHNAPPS,SPIRITS_TYPE,77
37,ANISE,SPIRITS_TYPE,77
38,ROCK AND BOURBON,SPIRITS_TYPE,77
39,GRAPPA,WINE_VARIETAL,211
40,EAU DE VIE,WINE_VARIETAL,211
41,CHIANTI,WINE_VARIETAL,211
42,CLARET,WINE_VARIETAL,211
43,TREBBIANO,WINE_VARIETAL,211
44,MEAD,WINE_VARIETAL,211
