PRODUCT_LIBRARY_KEY,CLIENT_ID,PROVIDER_ID,PROVIDER_SOURCE_ID,PRODUCT_ID,PRODUCT_DESCRIPTION,SIZE_UOM,SIZE_RAW,SIZE_VALUE,SELLING_UOM,PACK_RAW,PACK,UNITS_PER_PALLET,EQUIV_VALUE,STRENGTH,UPC,SCC,EAN,MANUFACTURER_NAME,AUTOMAP_ID,CURRENT_FEED_FLAG,ACTIVE_FLAG,SOURCE_SYSTEM_ID,AUDIT_LOAD_KEY,FILE_KEY,CREATE_DATE,UPDATE_DATE,UPDATE_USER_ID,AGE
1,-4,NULL,NULL,AP0001,UNMAPPED CATCH ALL,NULL,.750,0.7500,NULL,NULL,12.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,COLL,NULL,NULL,1/5/2021 16:58,1/5/2021 16:58,RBruns,NULL
2,-4,NULL,NULL,AP0002,CLIENT DISCONTINUED PRODUCTS,NULL,0.75,0.7500,NULL,NULL,12.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,APERITY,NULL,NULL,1/5/2021 16:58,1/5/2021 16:58,RBruns,NULL
3,-4,NULL,NULL,AP0006,NO MAP AVAILABLE,NULL,.750,0.7500,NULL,NULL,12.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,APERITY,NULL,NULL,1/5/2021 16:58,1/5/2021 16:58,RBruns,NULL
4,67,NULL,NULL,02BOBA127,Bosio Barbera d Asti 12 DOCG,LITER,0.75,0.7500,NULL,12,12.00,NULL,0.08333300000000,NULL,NULL,NULL,00857852002177,QUINT,NULL,NULL,1,QUINT,5626710,10800882,7/30/2021 21:35,7/30/2021 21:35,VI_APT_PL_PRODUCT_LIBRARY_CL,2012
5,67,NULL,NULL,02BOBA137,Bosio Barbera d Asti 13 DOCG,LITER,0.75,0.7500,NULL,12,12.00,NULL,0.08333300000000,NULL,NULL,NULL,NULL,QUINT,NULL,NULL,1,QUINT,5626710,10800882,7/30/2021 21:35,7/30/2021 21:35,VI_APT_PL_PRODUCT_LIBRARY_CL,2013
6,67,NULL,NULL,02BOBA147,Bosio Barbera d Asti 14 DOCG,LITER,0.75,0.7500,NULL,12,12.00,NULL,0.08333300000000,NULL,NULL,NULL,NULL,QUINT,NULL,NULL,1,QUINT,5626710,10800882,7/30/2021 21:35,7/30/2021 21:35,VI_APT_PL_PRODUCT_LIBRARY_CL,2014
7,67,NULL,NULL,02BOBA157,Bosio Barbera d Asti 15 DOCG,LITER,0.75,0.7500,NULL,12,12.00,NULL,0.08333300000000,NULL,857852002177,10899188001810,00857852002177,QUINT,NULL,NULL,1,QUINT,5626710,10800882,7/30/2021 21:35,7/30/2021 21:35,VI_APT_PL_PRODUCT_LIBRARY_CL,2015
8,67,NULL,NULL,02BOBA167,Bosio Barbera d Asti 16 DOCG,LITER,0.75,0.7500,NULL,12,12.00,NULL,0.08333300000000,NULL,857852002177,10899188001810,00857852002177,QUINT,NULL,NULL,1,QUINT,5626710,10800882,7/30/2021 21:35,7/30/2021 21:35,VI_APT_PL_PRODUCT_LIBRARY_CL,2016
9,67,NULL,NULL,02BOBA177,Bosio Barbera d Asti 17 DOCG,LITER,0.75,0.7500,NULL,12,12.00,NULL,0.08333300000000,NULL,857852002177,NULL,00857852002177,QUINT,NULL,NULL,1,QUINT,5626710,10800882,7/30/2021 21:35,7/30/2021 21:35,VI_APT_PL_PRODUCT_LIBRARY_CL,2017
10,67,NULL,NULL,02BOBA187,Bosio Barbera d Asti 18 DOCG,LITER,0.75,0.7500,NULL,12,12.00,NULL,0.08333300000000,NULL,NULL,n/a,NULL,QUINT,NULL,NULL,1,QUINT,5626710,10800882,7/30/2021 21:35,7/30/2021 21:35,VI_APT_PL_PRODUCT_LIBRARY_CL,2018
