ProductKey,PRODUCT_ID,PRODUCT_DESCRIPTION,SIZE_RAW,SIZE_VALUE,PACK_RAW,PACK,STRENGTH,PROVIDER_SOURCE_ID,PROVIDER_ID,CLIENT_ID,SOURCE_SYSTEM_ID,UNIVERSAL_PROD_CODE,ACTIVE_FLAG,CREATE_DATE,AUTOMAP_ID,MANUFACTURER_NAME,CATEGORY_LEVEL_LL_DESCR,BRAND_LEVEL_LL_DESCR
3583,50061275,G DUB BEAUJLAS VILLAGES VIN 9999,750 ML,0.7500,12,12.00,0,27619,11,NULL,NULL,815629020021,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3584,50080832,G DUB BEAUJLAS NOUV ROSE VIN 2020,750 ML,0.7500,12,12.00,0,27619,11,NULL,NULL,815629028201,1,2021-08-11 16:08:43.150,GDNR207,QIN,NULL,NULL
3585,50080834,G DUB BEAUJLAS NOUV VIN 2020,750 ML,0.7500,12,12.00,0,27619,11,NULL,NULL,815629028003,1,2021-08-11 16:08:43.150,GDBN207,QIN,NULL,NULL
3587,50080832,G DUB BEAUJLAS NOUV ROSE VIN 2020,750 ML,0.7500,12,12.00,0,28405,11,NULL,NULL,815629028201,1,2021-08-11 16:08:43.150,GDNR207,QIN,NULL,NULL
3589,50032501,Da Luca Prosecco 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,37218,11,NULL,NULL,83417006612,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3590,50032544,Trackers Crossing Cab Sauv 750/12 VIN 9999,750 ML,0.7500,12,12.00,0,37218,11,NULL,NULL,81434031013,1,2021-08-11 16:08:43.150,NULL,QIN,NULL,NULL
3591,1851040,GRANITE HILL PINOT GRIGIO VIN 0,750ML,0.7500,12,12.00,.00,FG,14,NULL,NULL,72482619251,1,2021-08-11 16:08:43.150,NULL,QES,NULL,NULL
3592,11480,DUBOEUF BEAUJOLAIS VILLAGE VIN 2017,750ML,0.7500,12,12.00,.00,SF,14,NULL,NULL,3125901505,1,2021-08-11 16:08:43.150,NULL,QES,NULL,NULL
3603,240640,HERDADE SAO MIGUEL SUL RED,CS12-750ML,NULL,012,12.00,00000,37213,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,240640,QW8,NULL,NULL
3604,242040,ART TERRA AMPHORA TINTO RED,CS12-750ML,NULL,012,12.00,00000,37213,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,242040,QW8,NULL,NULL
3605,242140,ART TERRA CURTIMENTA WH ORANGE,CS12-750ML,NULL,012,12.00,00000,37213,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,242140,QW8,NULL,NULL
3606,242240,HERDADE SAO MIGUEL ESCOLHAS,CS12-750ML,NULL,012,12.00,00000,37213,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,242240,QW8,NULL,NULL
3607,42305341,ECHO FALLS MANGO PEACH,CS12-750ML,NULL,012,12.00,00000,37213,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,42305341,QW8,NULL,NULL
3608,761040,IRONSTONE PETITE SYRAH,CS12-750ML,NULL,012,12.00,00000,37213,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,761040,QW8,NULL,NULL
